Date,Clicks,Impressions,CTR,Position
2024-12-18,75,2579,2.91%,11.23
2024-12-17,59,2775,2.13%,10.81
2024-12-16,106,2978,3.56%,11.35
2024-12-15,24,1437,1.67%,14.05
2024-12-14,19,1091,1.74%,15.61
2024-12-13,47,2714,1.73%,12.86
2024-12-12,87,3090,2.82%,12.05
2024-12-11,77,3160,2.44%,12.14
2024-12-10,81,3362,2.41%,11.56
2024-12-09,76,3309,2.3%,12.08
2024-12-08,50,1971,2.54%,16.17
2024-12-07,30,1393,2.15%,18.33
2024-12-06,74,2807,2.64%,13.65
2024-12-05,67,3380,1.98%,13.35
2024-12-04,95,3452,2.75%,12.85
2024-12-03,63,3267,1.93%,12.79
2024-12-02,81,3009,2.69%,11.77
2024-12-01,31,1582,1.96%,15.87
2024-11-30,52,1191,4.37%,15.55
2024-11-29,65,2037,3.19%,13.39
2024-11-28,44,2255,1.95%,13.42
2024-11-27,46,2666,1.73%,13.03
2024-11-26,59,3039,1.94%,12.88
2024-11-25,75,2969,2.53%,13.12
2024-11-24,26,1622,1.6%,18.22
2024-11-23,29,1207,2.4%,19.86
2024-11-22,58,2582,2.25%,14.31
2024-11-21,64,2959,2.16%,13.14
2024-11-20,86,3413,2.52%,12.38
2024-11-19,96,3503,2.74%,12.43
2024-11-18,120,3595,3.34%,12.17
2024-11-17,40,1751,2.28%,15.83
2024-11-16,37,1285,2.88%,17.12
2024-11-15,86,2705,3.18%,13.61
2024-11-14,98,3455,2.84%,13.23
2024-11-13,112,3707,3.02%,12.59
2024-11-12,94,3615,2.6%,12.29
2024-11-11,98,3424,2.86%,13.28
2024-11-10,26,2045,1.27%,19.41
2024-11-09,28,1567,1.79%,20.07
2024-11-08,85,2799,3.04%,13.7
2024-11-07,92,3245,2.84%,13.25
2024-11-06,91,3086,2.95%,14.28
2024-11-05,114,3109,3.67%,13.39
2024-11-04,94,3016,3.12%,12.53
2024-11-03,60,1705,3.52%,17.56
2024-11-02,40,1180,3.39%,17.81
2024-11-01,74,2217,3.34%,14.57
2024-10-31,77,2646,2.91%,12.55
2024-10-30,74,2999,2.47%,12.83
2024-10-29,94,2924,3.21%,13.03
2024-10-28,83,2811,2.95%,12.82
2024-10-27,40,1519,2.63%,17.29
2024-10-26,37,1140,3.25%,19.07
