id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
01011000,01,Alabama,AL,Mobile County,Chickasaw,Chickasaw city,City,place,36611,251,10894952,909156,30.77145,-88.079697,38773,30506,33101,1638.26051309172
01011010,01,Alabama,AL,Barbour County,Louisville,Clio city,City,place,36048,334,26070325,23254,31.708516,-85.611039,37725,19528,43789,258.017684685483
01011020,01,Alabama,AL,Shelby County,Columbiana,Columbiana city,City,place,35051,205,44835274,261034,33.191452,-86.615618,54606,31930,57348,926.030999750251
01011030,01,Alabama,AL,Mobile County,Satsuma,Creola city,City,place,36572,251,36878729,2374530,30.874343,-88.009442,63919,52814,47707,378.11461910293
01011040,01,Alabama,AL,Mobile County,Dauphin Island,Dauphin Island,Town,place,36528,251,16204185,413605152,30.250913,-88.171268,77948,67225,54270,282.320327843928
01011050,01,Alabama,AL,Cullman County,Cullman,Dodge City,Town,place,35057,256,8913021,26837,34.045414,-86.88267,50715,42643,35886,173.325958599703
01011060,01,Alabama,AL,Escambia County,East Brewton,East Brewton city,City,place,36426,251,8826252,91015,31.09144,-87.055345,33737,23610,28256,758.771322372054
01011070,01,Alabama,AL,Elmore County,Coosada,Elmore,Town,place,36020,334,10222339,176500,32.544337,-86.336446,46319,40242,38941,397.052564239374
01011080,01,Alabama,AL,Morgan County,Eva,Eva,Town,place,35621,256,10544874,78981,34.326504,-86.765318,57994,39591,47235,137.496038515582
01011090,01,Alabama,AL,Talladega County,Sylacauga,Fayetteville,CDP,place,35151,256,45178321,6034534,33.168097,-86.442774,54807,41712,51359,380.728238095448
01011100,01,Alabama,AL,DeKalb County,Rainsville,Fort Payne city,City,place,35986,256,145527967,924063,34.457329,-85.689447,47929,38947,44430,3621.63031898417
01011110,01,Alabama,AL,Etowah County,Gadsden,Gadsden city,City,place,35901,256,96637272,3060329,34.009563,-86.015643,42251,28811,41397,10716.1392370522
01011120,01,Alabama,AL,Butler County,Georgiana,Georgiana,Town,place,36033,334,16154540,0,31.639134,-86.746762,27993,19757,27656,553.438214146472
01011130,01,Alabama,AL,Coosa County,Rockford,Goodwater,Town,place,35136,256,16819854,75870,33.060835,-86.052333,31229,22745,27452,528.084884689552
01011140,01,Alabama,AL,Hale County,Greensboro,Greensboro city,City,place,36744,334,6156793,24951,32.700968,-87.5937,36439,21136,45043,775.252484592484
01011150,01,Alabama,AL,Marion County,Guin,Gu-Win,Town,place,35563,205,5028328,0,33.944319,-87.870368,56934,39047,53934,37.2643315105633
01011160,01,Alabama,AL,Geneva County,Hartford,Hartford city,City,place,36344,334,16152099,37439,31.105348,-85.691225,41057,21608,45280,770.56583917391
01011170,01,Alabama,AL,Jefferson County,Helena,Helena city,City,place,35080,205,53950336,833954,33.285635,-86.874488,93682,300000,55763,359.444828293645
01011180,01,Alabama,AL,Etowah County,Hokes Bluff,Hokes Bluff city,City,place,35903,256,30893300,423908,33.989682,-85.862873,57202,46738,44401,1140.74818957597
01011190,01,Alabama,AL,Covington County,Opp,Horn Hill,Town,place,36467,334,6618368,135412,31.238158,-86.325104,49699,34049,48287,77.3974208024441
01011200,01,Alabama,AL,Etowah County,Attalla,Ivalee,CDP,place,35954,256,19297932,0,34.0372,-86.147175,51926,300000,28590,179.827251800981
01011210,01,Alabama,AL,Lamar County,Millport,Kennedy,Town,place,35576,205,7948840,0,33.580891,-87.986179,44572,34725,36562,152.195391164196
01011220,01,Alabama,AL,Jackson County,Section,Langston,Town,place,35771,256,12755795,8595968,34.545063,-86.09335,56029,31635,62581,65.4314568151737
01011230,01,Alabama,AL,Covington County,Andalusia,Libertyville,Town,place,36420,334,1347464,7932,31.24398,-86.46015,51098,43794,32431,46.1990035007309
01011240,01,Alabama,AL,Covington County,Lockhart,Lockhart,Town,place,36455,334,2818242,103127,31.013011,-86.350273,45465,36849,45634,129.828638282687
01011250,01,Alabama,AL,Washington County,Mcintosh,McIntosh,Town,place,36553,251,2579767,0,31.264957,-88.028369,67392,48713,54529,74.1313816907173
01011260,01,Alabama,AL,Chilton County,Maplesville,Maplesville,Town,place,36750,334,8463711,104846,32.788282,-86.876651,43767,30427,38304,210.190639928957
01011270,01,Alabama,AL,Jefferson County,Fairfield,Midfield city,City,place,35064,205,6869817,0,33.455197,-86.922633,48074,39817,37964,1376.6511796411
01011280,01,Alabama,AL,Mobile County,Mobile,Mobile city,City,place,36606,251,361044263,105325210,30.668426,-88.100226,53330,38231,50855,51243.6483693845
01011290,01,Alabama,AL,Lawrence County,Moulton,Moulton city,City,place,35650,256,15525177,37270,34.488302,-87.282707,42079,28180,39942,1081.05467461344
01011300,01,Alabama,AL,Colbert County,Muscle Shoals,Muscle Shoals city,City,place,35661,256,42811752,53102,34.743692,-87.633774,60729,49109,48170,3371.98478494149
01011310,01,Alabama,AL,Hale County,Newbern,Newbern,Town,place,36765,334,3010370,6872,32.591672,-87.535614,32466,17389,31851,56.3313177265587
01011320,01,Alabama,AL,Tuscaloosa County,Northport,Northport city,City,place,35476,205,43353277,1016012,33.257975,-87.59647,62410,54115,47114,5311.5376828853
01011330,01,Alabama,AL,Lee County,Opelika,Opelika city,City,place,36801,334,154497144,2388300,32.660739,-85.37889,55199,40430,48856,7259.66789832622
01011340,01,Alabama,AL,Sumter County,Panola,Panola,CDP,place,35477,205,1858530,3231,32.946819,-88.262264,22603,6190,29054,9.99808887703625
01011350,01,Alabama,AL,Lee County,Ozark,Phenix City city,City,place,36867,334,72497364,325619,32.461669,-85.025021,86605,79218,52491,695.847229224363
01011360,01,Alabama,AL,Autauga County,Deatsville,Pine Level,CDP,place,36022,334,64250372,132799,32.579539,-86.454318,63066,57698,41175,949.115807710346
01011370,01,Alabama,AL,Elmore County,Prattville,Prattville city,City,place,36067,334,86435482,2322045,32.461908,-86.457385,53597,39054,39602,495.251317277981
01011380,01,Alabama,AL,Franklin County,Red Bay,Red Bay city,City,place,35582,256,25224456,268155,34.436097,-88.136515,39220,29055,33077,1046.49929354485
01011390,01,Alabama,AL,Covington County,Andalusia,River Falls,Town,place,36421,334,17703764,675339,31.352397,-86.544609,39218,25895,48015,224.026151428601
01011400,01,Alabama,AL,Blount County,Cleveland,Rosa,Town,place,35049,205,9758714,14775,33.992756,-86.500325,55127,44609,39231,87.1966609562178
01011410,01,Alabama,AL,Mobile County,Satsuma,Saraland city,City,place,36572,251,73566058,497598,30.854581,-88.109929,59567,52275,43545,3110.48608709037
01011420,01,Alabama,AL,Shelby County,Shelby,Shelby,CDP,place,35143,205,48586750,657199,33.106882,-86.585403,63758,45844,53244,262.086041175498
01011430,01,Alabama,AL,Lee County,Smiths Station,Smiths Station city,City,place,36877,334,17386667,69041,32.534662,-85.111341,57098,45637,48651,1326.28880477322
01011440,01,Alabama,AL,Franklin County,Phil Campbell,Spruce Pine,CDP,place,35581,256,2403095,2825,34.39287,-87.729597,72297,300000,21067,20.9990399615985
01011450,01,Alabama,AL,Walker County,Sumiton,Sumiton city,City,place,35148,205,13529257,19710,33.749269,-87.046903,51907,39657,46146,690.507312520946
01011460,01,Alabama,AL,Tallapoosa County,Tallassee,Tallassee city,City,place,36078,334,27817447,1526561,32.532665,-85.891993,55849,50493,42845,502.572095061375
01011470,01,Alabama,AL,Mobile County,Mobile,Tillmans Corner,CDP,place,36619,251,33596548,99955,30.581533,-88.21278,55230,47636,45298,4174.79584923934
01011480,01,Alabama,AL,Tuscaloosa County,Tuscaloosa,Tuscaloosa city,City,place,35406,205,159585773,26058465,33.234404,-87.5283,55815,38843,54867,21342.4371487722
01011490,01,Alabama,AL,Chambers County,Valley,Valley city,City,place,36854,334,28436022,0,32.828953,-85.169386,49554,39263,40901,2423.15327526595
01011500,01,Alabama,AL,St. Clair County,Vincent,Vincent,Town,place,35178,205,53311740,978770,33.383145,-86.402544,0,0,0,0
